35	 & 	2	 & 	6	 & 	11	 & 	2	 & 	828	 & 	1439	 & 	10	 & 	10	 & 	7200.0	 & 	31.5	 & 	33.0	 & 	4.59	 & 	839.8	 & 	392.0	 & 	6.1	 & 	0	 & 	247.0	 & 	746.0	 & 	0.0	 & 	87.0	 & 	1080.0	 & 	7.4	 & 	30.4	 & 	30.0	 & 	33.0	 & 	9.09	 & 	
40	 & 	2	 & 	6	 & 	13	 & 	2	 & 	1060	 & 	1840	 & 	10	 & 	10	 & 	7200.0	 & 	34.0	 & 	37.0	 & 	8.10	 & 	216.0	 & 	167.6	 & 	19.9	 & 	1	 & 	315.0	 & 	1262.0	 & 	0.0	 & 	179.0	 & 	1756.0	 & 	12.8	 & 	364.2	 & 	32.0	 & 	37.0	 & 	13.51	 & 	
40	 & 	2	 & 	3	 & 	26	 & 	2	 & 	1320	 & 	1920	 & 	11	 & 	12	 & 	7200.0	 & 	45.3	 & 	48.0	 & 	5.56	 & 	307.7	 & 	206.3	 & 	19.1	 & 	0	 & 	252.0	 & 	1105.0	 & 	0.0	 & 	109.0	 & 	1466.0	 & 	13.4	 & 	179.5	 & 	41.2	 & 	48.0	 & 	14.08	 & 	
55	 & 	2	 & 	3	 & 	36	 & 	1	 & 	2548	 & 	3695	 & 	14	 & 	14	 & 	7200.0	 & 	58.6	 & 	64.0	 & 	8.39	 & 	35.8	 & 	31.5	 & 	2158.8	 & 	0	 & 	435.0	 & 	1913.0	 & 	0.0	 & 	171.0	 & 	2519.0	 & 	26.0	 & 	2110.9	 & 	56.0	 & 	65.0	 & 	13.85	 & 	
45	 & 	2	 & 	3	 & 	30	 & 	2	 & 	1725	 & 	2483	 & 	13	 & 	14	 & 	7200.0	 & 	48.4	 & 	53.0	 & 	8.63	 & 	108.4	 & 	82.1	 & 	1265.2	 & 	0	 & 	359.0	 & 	1679.0	 & 	0.0	 & 	102.0	 & 	2140.0	 & 	20.1	 & 	1449.4	 & 	46.0	 & 	53.0	 & 	13.21	 & 	
40	 & 	2	 & 	9	 & 	8	 & 	2	 & 	960	 & 	1780	 & 	11	 & 	11	 & 	7200.0	 & 	33.5	 & 	36.0	 & 	6.94	 & 	459.4	 & 	328.7	 & 	1.7	 & 	63	 & 	250.0	 & 	589.0	 & 	0.0	 & 	103.0	 & 	942.0	 & 	11.3	 & 	5.3	 & 	33.0	 & 	36.0	 & 	8.33	 & 	
45	 & 	2	 & 	6	 & 	15	 & 	2	 & 	1380	 & 	2345	 & 	15	 & 	15	 & 	7200.0	 & 	42.2	 & 	47.0	 & 	10.28	 & 	38.9	 & 	34.9	 & 	2847.7	 & 	0	 & 	384.0	 & 	2755.0	 & 	0.0	 & 	398.0	 & 	3537.0	 & 	45.1	 & 	2639.8	 & 	41.0	 & 	49.0	 & 	16.33	 & 	
35	 & 	2	 & 	9	 & 	7	 & 	4	 & 	756	 & 	1385	 & 	12	 & 	12	 & 	7200.0	 & 	31.5	 & 	33.0	 & 	4.55	 & 	769.3	 & 	360.9	 & 	0.7	 & 	8	 & 	186.0	 & 	638.0	 & 	0.0	 & 	48.0	 & 	872.0	 & 	9.2	 & 	7.3	 & 	31.0	 & 	33.0	 & 	6.06	 & 	
50	 & 	2	 & 	3	 & 	33	 & 	2	 & 	2075	 & 	3025	 & 	14	 & 	14	 & 	7200.0	 & 	53.7	 & 	59.0	 & 	9.02	 & 	135.7	 & 	125.1	 & 	46.3	 & 	0	 & 	388.0	 & 	1407.0	 & 	0.0	 & 	195.0	 & 	1990.0	 & 	20.9	 & 	1775.5	 & 	51.0	 & 	59.0	 & 	13.56	 & 	
45	 & 	2	 & 	9	 & 	10	 & 	2	 & 	1265	 & 	2299	 & 	15	 & 	15	 & 	7200.0	 & 	39.5	 & 	42.0	 & 	5.95	 & 	196.7	 & 	138.1	 & 	30.5	 & 	7	 & 	288.0	 & 	1103.0	 & 	0.0	 & 	262.0	 & 	1653.0	 & 	26.6	 & 	30.5	 & 	39.0	 & 	42.0	 & 	7.14	 & 	
40	 & 	2	 & 	3	 & 	26	 & 	3	 & 	1320	 & 	1840	 & 	12	 & 	13	 & 	3730.0	 & 	46.0	 & 	46.0	 & 	0.00	 & 	232.6	 & 	0.0	 & 	3.7	 & 	0	 & 	252.0	 & 	1070.0	 & 	0.0	 & 	130.0	 & 	1452.0	 & 	6.9	 & 	355.5	 & 	40.0	 & 	46.0	 & 	13.04	 & 	
35	 & 	2	 & 	3	 & 	23	 & 	4	 & 	1044	 & 	1547	 & 	11	 & 	11	 & 	7200.0	 & 	39.3	 & 	41.0	 & 	4.16	 & 	521.0	 & 	248.4	 & 	6.0	 & 	0	 & 	246.0	 & 	872.0	 & 	0.0	 & 	81.0	 & 	1199.0	 & 	6.9	 & 	253.7	 & 	37.0	 & 	41.0	 & 	9.76	 & 	
30	 & 	2	 & 	6	 & 	10	 & 	5	 & 	600	 & 	1020	 & 	10	 & 	10	 & 	7200.0	 & 	29.0	 & 	30.0	 & 	3.33	 & 	1132.2	 & 	2.1	 & 	2.5	 & 	6	 & 	160.0	 & 	824.0	 & 	0.0	 & 	115.0	 & 	1099.0	 & 	5.1	 & 	81.1	 & 	27.0	 & 	30.0	 & 	10.00	 & 	
50	 & 	2	 & 	9	 & 	11	 & 	2	 & 	1525	 & 	2750	 & 	13	 & 	13	 & 	7200.0	 & 	41.0	 & 	44.0	 & 	6.82	 & 	167.1	 & 	125.6	 & 	52.6	 & 	3	 & 	414.0	 & 	1138.0	 & 	0.0	 & 	170.0	 & 	1722.0	 & 	32.9	 & 	52.6	 & 	41.0	 & 	44.0	 & 	6.82	 & 	
50	 & 	2	 & 	6	 & 	16	 & 	2	 & 	1650	 & 	2775	 & 	19	 & 	19	 & 	7200.0	 & 	49.0	 & 	55.0	 & 	10.91	 & 	19.6	 & 	18.3	 & 	5277.7	 & 	1	 & 	390.0	 & 	3300.0	 & 	0.0	 & 	687.0	 & 	4377.0	 & 	98.9	 & 	5167.8	 & 	48.0	 & 	58.0	 & 	17.24	 & 	
35	 & 	2	 & 	6	 & 	11	 & 	3	 & 	828	 & 	1457	 & 	12	 & 	12	 & 	7200.0	 & 	33.0	 & 	35.0	 & 	5.71	 & 	463.1	 & 	326.6	 & 	9.5	 & 	2	 & 	209.0	 & 	1326.0	 & 	0.0	 & 	252.0	 & 	1787.0	 & 	28.4	 & 	81.3	 & 	33.0	 & 	35.0	 & 	5.71	 & 	
40	 & 	2	 & 	6	 & 	13	 & 	3	 & 	1060	 & 	1840	 & 	12	 & 	12	 & 	7200.0	 & 	36.5	 & 	40.0	 & 	8.76	 & 	205.1	 & 	166.6	 & 	7.9	 & 	3	 & 	315.0	 & 	2093.0	 & 	0.0	 & 	168.0	 & 	2576.0	 & 	16.0	 & 	1276.7	 & 	35.0	 & 	40.0	 & 	12.50	 & 	
55	 & 	2	 & 	6	 & 	18	 & 	1	 & 	2044	 & 	3527	 & 	16	 & 	16	 & 	7200.0	 & 	48.0	 & 	59.0	 & 	18.64	 & 	0.0	 & 	0.0	 & 	78.3	 & 	0	 & 	609.0	 & 	1673.0	 & 	0.0	 & 	0.0	 & 	2282.0	 & 	11.9	 & 	0.0	 & 	0.0	 & 	0.0	 & 	0.00	 & 	
55	 & 	2	 & 	3	 & 	36	 & 	2	 & 	2548	 & 	3639	 & 	17	 & 	18	 & 	7200.0	 & 	60.0	 & 	66.0	 & 	9.08	 & 	10.0	 & 	8.8	 & 	6669.1	 & 	0	 & 	435.0	 & 	2725.0	 & 	0.0	 & 	149.0	 & 	3309.0	 & 	47.5	 & 	5206.5	 & 	57.0	 & 	67.0	 & 	14.93	 & 	
45	 & 	2	 & 	3	 & 	30	 & 	3	 & 	1725	 & 	2460	 & 	13	 & 	17	 & 	7200.0	 & 	49.8	 & 	55.0	 & 	9.39	 & 	240.8	 & 	203.5	 & 	209.8	 & 	0	 & 	335.0	 & 	958.0	 & 	0.0	 & 	142.0	 & 	1435.0	 & 	13.8	 & 	653.7	 & 	46.0	 & 	55.0	 & 	16.36	 & 	
40	 & 	2	 & 	9	 & 	8	 & 	3	 & 	960	 & 	1780	 & 	11	 & 	11	 & 	7200.0	 & 	33.0	 & 	34.0	 & 	2.94	 & 	174.1	 & 	0.6	 & 	2.2	 & 	35	 & 	241.0	 & 	672.0	 & 	0.0	 & 	88.0	 & 	1001.0	 & 	9.0	 & 	2.4	 & 	33.0	 & 	34.0	 & 	2.94	 & 	
45	 & 	2	 & 	6	 & 	15	 & 	3	 & 	1380	 & 	2368	 & 	15	 & 	15	 & 	7200.0	 & 	42.5	 & 	46.0	 & 	7.61	 & 	169.5	 & 	140.1	 & 	4.9	 & 	3	 & 	335.0	 & 	1747.0	 & 	0.0	 & 	327.0	 & 	2409.0	 & 	54.9	 & 	122.8	 & 	42.0	 & 	46.0	 & 	8.70	 & 	
35	 & 	2	 & 	9	 & 	7	 & 	5	 & 	756	 & 	1403	 & 	10	 & 	10	 & 	7200.0	 & 	29.0	 & 	31.0	 & 	6.45	 & 	855.7	 & 	507.5	 & 	0.5	 & 	55	 & 	183.0	 & 	439.0	 & 	0.0	 & 	48.0	 & 	670.0	 & 	5.4	 & 	1.0	 & 	29.0	 & 	31.0	 & 	6.45	 & 	
50	 & 	2	 & 	3	 & 	33	 & 	3	 & 	2075	 & 	3100	 & 	12	 & 	13	 & 	7200.0	 & 	53.9	 & 	58.0	 & 	7.10	 & 	100.3	 & 	85.5	 & 	228.3	 & 	0	 & 	257.0	 & 	1234.0	 & 	0.0	 & 	142.0	 & 	1633.0	 & 	15.3	 & 	490.8	 & 	50.5	 & 	58.0	 & 	12.93	 & 	
45	 & 	2	 & 	9	 & 	10	 & 	3	 & 	1265	 & 	2322	 & 	13	 & 	14	 & 	7200.0	 & 	39.5	 & 	42.0	 & 	5.95	 & 	290.3	 & 	195.4	 & 	13.7	 & 	10	 & 	304.0	 & 	926.0	 & 	0.0	 & 	121.0	 & 	1351.0	 & 	27.0	 & 	81.4	 & 	39.0	 & 	42.0	 & 	7.14	 & 	
35	 & 	2	 & 	3	 & 	23	 & 	5	 & 	1044	 & 	1511	 & 	12	 & 	12	 & 	6581.3	 & 	40.0	 & 	40.0	 & 	0.00	 & 	345.7	 & 	0.0	 & 	36.4	 & 	0	 & 	206.0	 & 	1070.0	 & 	0.0	 & 	95.0	 & 	1371.0	 & 	10.4	 & 	64.8	 & 	35.0	 & 	40.0	 & 	12.50	 & 	
40	 & 	2	 & 	3	 & 	26	 & 	4	 & 	1320	 & 	1980	 & 	11	 & 	11	 & 	7200.0	 & 	43.0	 & 	46.0	 & 	6.57	 & 	315.0	 & 	247.9	 & 	412.5	 & 	0	 & 	252.0	 & 	1078.0	 & 	0.0	 & 	128.0	 & 	1458.0	 & 	10.6	 & 	387.2	 & 	38.2	 & 	48.0	 & 	20.51	 & 	
55	 & 	2	 & 	9	 & 	12	 & 	1	 & 	1876	 & 	3387	 & 	15	 & 	15	 & 	7200.0	 & 	46.0	 & 	49.0	 & 	6.12	 & 	133.3	 & 	81.5	 & 	229.8	 & 	11	 & 	524.0	 & 	1450.0	 & 	0.0	 & 	272.0	 & 	2246.0	 & 	54.9	 & 	22.0	 & 	46.0	 & 	50.0	 & 	8.00	 & 	
50	 & 	2	 & 	6	 & 	16	 & 	3	 & 	1650	 & 	2825	 & 	14	 & 	14	 & 	7200.0	 & 	43.0	 & 	49.0	 & 	12.24	 & 	25.9	 & 	24.1	 & 	6514.0	 & 	3	 & 	416.0	 & 	2659.0	 & 	0.0	 & 	216.0	 & 	3291.0	 & 	55.6	 & 	4315.1	 & 	43.0	 & 	50.0	 & 	14.00	 & 	
50	 & 	2	 & 	9	 & 	11	 & 	3	 & 	1525	 & 	2750	 & 	15	 & 	15	 & 	7200.0	 & 	44.5	 & 	47.0	 & 	5.32	 & 	208.1	 & 	149.6	 & 	25.4	 & 	8	 & 	412.0	 & 	1759.0	 & 	0.0	 & 	274.0	 & 	2445.0	 & 	85.4	 & 	57.2	 & 	44.0	 & 	47.0	 & 	6.38	 & 	
35	 & 	2	 & 	6	 & 	11	 & 	4	 & 	828	 & 	1439	 & 	11	 & 	11	 & 	7200.0	 & 	31.0	 & 	32.0	 & 	3.12	 & 	85.7	 & 	0.6	 & 	3.3	 & 	3	 & 	207.0	 & 	777.0	 & 	0.0	 & 	249.0	 & 	1233.0	 & 	10.8	 & 	9.2	 & 	31.0	 & 	32.0	 & 	3.12	 & 	
40	 & 	2	 & 	6	 & 	13	 & 	4	 & 	1060	 & 	1840	 & 	13	 & 	14	 & 	7200.0	 & 	37.0	 & 	40.0	 & 	7.50	 & 	375.2	 & 	313.6	 & 	3.3	 & 	6	 & 	270.0	 & 	1165.0	 & 	0.0	 & 	314.0	 & 	1749.0	 & 	34.5	 & 	12.7	 & 	37.0	 & 	40.0	 & 	7.50	 & 	
55	 & 	2	 & 	6	 & 	18	 & 	2	 & 	2044	 & 	3415	 & 	16	 & 	16	 & 	7200.0	 & 	48.0	 & 	56.0	 & 	14.29	 & 	0.0	 & 	0.0	 & 	13.7	 & 	0	 & 	551.0	 & 	1920.0	 & 	0.0	 & 	0.0	 & 	2471.0	 & 	12.2	 & 	0.0	 & 	0.0	 & 	0.0	 & 	0.00	 & 	
55	 & 	2	 & 	3	 & 	36	 & 	3	 & 	2548	 & 	3751	 & 	16	 & 	16	 & 	7200.0	 & 	57.0	 & 	62.0	 & 	8.14	 & 	95.6	 & 	91.7	 & 	6586.0	 & 	0	 & 	406.0	 & 	1652.0	 & 	0.0	 & 	179.0	 & 	2237.0	 & 	27.6	 & 	3064.0	 & 	54.0	 & 	66.0	 & 	18.18	 & 	
45	 & 	2	 & 	3	 & 	30	 & 	4	 & 	1725	 & 	2368	 & 	13	 & 	15	 & 	7200.0	 & 	49.6	 & 	54.0	 & 	8.18	 & 	102.6	 & 	93.5	 & 	4367.4	 & 	0	 & 	431.0	 & 	1909.0	 & 	0.0	 & 	118.0	 & 	2458.0	 & 	21.2	 & 	3439.8	 & 	46.0	 & 	55.0	 & 	16.36	 & 	
40	 & 	2	 & 	9	 & 	8	 & 	4	 & 	960	 & 	1780	 & 	11	 & 	11	 & 	7200.0	 & 	34.0	 & 	35.0	 & 	2.86	 & 	287.3	 & 	0.8	 & 	18.9	 & 	28	 & 	206.0	 & 	687.0	 & 	0.0	 & 	73.0	 & 	966.0	 & 	7.4	 & 	2.2	 & 	34.0	 & 	36.0	 & 	5.56	 & 	
45	 & 	2	 & 	6	 & 	15	 & 	4	 & 	1380	 & 	2345	 & 	11	 & 	12	 & 	7200.0	 & 	39.0	 & 	42.0	 & 	7.14	 & 	199.4	 & 	166.7	 & 	6779.1	 & 	1	 & 	421.0	 & 	1017.0	 & 	0.0	 & 	94.0	 & 	1532.0	 & 	22.3	 & 	66.3	 & 	39.0	 & 	44.0	 & 	11.36	 & 	
30	 & 	5	 & 	3	 & 	20	 & 	1	 & 	500	 & 	750	 & 	4	 & 	4	 & 	28.2	 & 	25.0	 & 	25.0	 & 	0.00	 & 	2.9	 & 	0.0	 & 	7.1	 & 	0	 & 	16.0	 & 	739.0	 & 	0.0	 & 	101.0	 & 	856.0	 & 	2.0	 & 	1.0	 & 	19.0	 & 	26.0	 & 	26.92	 & 	
30	 & 	5	 & 	3	 & 	20	 & 	2	 & 	500	 & 	770	 & 	4	 & 	4	 & 	14.4	 & 	27.0	 & 	27.0	 & 	0.00	 & 	0.9	 & 	0.0	 & 	6.0	 & 	3	 & 	0.0	 & 	398.0	 & 	0.0	 & 	52.0	 & 	450.0	 & 	0.9	 & 	4.0	 & 	22.0	 & 	28.0	 & 	21.43	 & 	
