30	 & 	2	 & 	6	 & 	10	 & 	1	 & 	600	 & 	1035	 & 	10	 & 	10	 & 	7200.0	 & 	28.7	 & 	31.0	 & 	7.55	 & 	1155.4	 & 	669.5	 & 	11.6	 & 	9	 & 	160.0	 & 	509.0	 & 	0.0	 & 	82.0	 & 	751.0	 & 	6.1	 & 	9.2	 & 	27.0	 & 	32.0	 & 	15.62	 & 	
35	 & 	2	 & 	9	 & 	7	 & 	1	 & 	756	 & 	1385	 & 	12	 & 	12	 & 	7200.0	 & 	31.0	 & 	32.0	 & 	3.12	 & 	433.1	 & 	0.3	 & 	1.4	 & 	6	 & 	165.0	 & 	1052.0	 & 	0.0	 & 	160.0	 & 	1377.0	 & 	9.1	 & 	1.8	 & 	31.0	 & 	32.0	 & 	3.12	 & 	
35	 & 	2	 & 	6	 & 	11	 & 	1	 & 	828	 & 	1403	 & 	12	 & 	12	 & 	7200.0	 & 	32.6	 & 	35.0	 & 	6.83	 & 	451.5	 & 	231.3	 & 	9.0	 & 	3	 & 	228.0	 & 	1389.0	 & 	0.0	 & 	156.0	 & 	1773.0	 & 	9.6	 & 	312.0	 & 	31.0	 & 	35.0	 & 	11.43	 & 	
40	 & 	2	 & 	3	 & 	26	 & 	1	 & 	1320	 & 	1920	 & 	11	 & 	14	 & 	7200.0	 & 	45.5	 & 	50.0	 & 	9.07	 & 	308.4	 & 	273.6	 & 	873.1	 & 	0	 & 	252.0	 & 	1662.0	 & 	0.0	 & 	115.0	 & 	2029.0	 & 	19.4	 & 	743.8	 & 	42.0	 & 	51.0	 & 	17.65	 & 	
40	 & 	2	 & 	9	 & 	8	 & 	1	 & 	960	 & 	1780	 & 	11	 & 	11	 & 	7200.0	 & 	33.5	 & 	35.0	 & 	4.29	 & 	416.8	 & 	152.5	 & 	1.0	 & 	6	 & 	227.0	 & 	1031.0	 & 	0.0	 & 	139.0	 & 	1397.0	 & 	10.3	 & 	2.9	 & 	33.0	 & 	35.0	 & 	5.71	 & 	
40	 & 	2	 & 	6	 & 	13	 & 	1	 & 	1060	 & 	1820	 & 	11	 & 	11	 & 	7200.0	 & 	34.8	 & 	38.0	 & 	8.39	 & 	168.3	 & 	121.3	 & 	4.5	 & 	4	 & 	294.0	 & 	1861.0	 & 	0.0	 & 	36.0	 & 	2191.0	 & 	12.2	 & 	894.2	 & 	33.0	 & 	38.0	 & 	13.16	 & 	
45	 & 	2	 & 	3	 & 	30	 & 	1	 & 	1725	 & 	2483	 & 	11	 & 	11	 & 	7200.0	 & 	45.7	 & 	49.0	 & 	6.79	 & 	206.4	 & 	165.0	 & 	941.5	 & 	0	 & 	287.0	 & 	1318.0	 & 	0.0	 & 	168.0	 & 	1773.0	 & 	14.5	 & 	785.8	 & 	42.0	 & 	53.0	 & 	20.75	 & 	
45	 & 	2	 & 	9	 & 	10	 & 	1	 & 	1265	 & 	2299	 & 	14	 & 	14	 & 	7200.0	 & 	39.0	 & 	42.0	 & 	7.14	 & 	220.7	 & 	133.4	 & 	28.8	 & 	3	 & 	286.0	 & 	1171.0	 & 	0.0	 & 	182.0	 & 	1639.0	 & 	15.9	 & 	28.8	 & 	39.0	 & 	42.0	 & 	7.14	 & 	
45	 & 	2	 & 	6	 & 	15	 & 	1	 & 	1380	 & 	2368	 & 	13	 & 	13	 & 	7200.0	 & 	39.7	 & 	44.0	 & 	9.85	 & 	125.2	 & 	109.8	 & 	22.1	 & 	1	 & 	360.0	 & 	1848.0	 & 	0.0	 & 	132.0	 & 	2340.0	 & 	24.0	 & 	1732.2	 & 	39.0	 & 	44.0	 & 	11.36	 & 	
50	 & 	2	 & 	6	 & 	16	 & 	1	 & 	1650	 & 	2875	 & 	15	 & 	15	 & 	7200.0	 & 	45.5	 & 	50.0	 & 	9.00	 & 	34.9	 & 	24.4	 & 	17.5	 & 	1	 & 	490.0	 & 	2134.0	 & 	0.0	 & 	315.0	 & 	2939.0	 & 	45.4	 & 	936.7	 & 	45.0	 & 	50.0	 & 	10.00	 & 	
