35	 & 	8	 & 	3	 & 	23	 & 	406	 & 	610	 & 	3.2	 & 	3.2	 & 	9.0	 & 	27.6	 & 	27.6	 & 	0.00	 & 	0.5	 & 	0.0	 & 	5.4	 & 	1.4	 & 	2.81	 & 	23.2	 & 	29.6	 & 	21.08	 & 	0.0	 & 	1.0
35	 & 	8	 & 	6	 & 	11	 & 	322	 & 	585	 & 	2.8	 & 	2.8	 & 	13.1	 & 	17.0	 & 	17.0	 & 	0.00	 & 	2.6	 & 	0.0	 & 	0.6	 & 	2.4	 & 	0.42	 & 	12.1	 & 	20.2	 & 	36.12	 & 	5.6	 & 	0.5
35	 & 	8	 & 	9	 & 	7	 & 	294	 & 	562	 & 	3.0	 & 	3.0	 & 	1.2	 & 	12.8	 & 	12.8	 & 	0.00	 & 	0.6	 & 	0.0	 & 	0.3	 & 	4.6	 & 	0.16	 & 	9.6	 & 	13.8	 & 	29.52	 & 	16.2	 & 	0.0
40	 & 	8	 & 	3	 & 	26	 & 	528	 & 	795	 & 	3.4	 & 	3.4	 & 	173.6	 & 	32.0	 & 	32.0	 & 	0.00	 & 	10.1	 & 	0.0	 & 	38.2	 & 	1.2	 & 	8.63	 & 	26.3	 & 	34.6	 & 	23.81	 & 	0.0	 & 	3.2
60	 & 	2	 & 	3	 & 	40	 & 	3000	 & 	4320	 & 	17.4	 & 	18.6	 & 	7200.0	 & 	63.3	 & 	73.4	 & 	13.60	 & 	17.3	 & 	16.4	 & 	3378.4	 & 	0.0	 & 	2306.13	 & 	37.4	 & 	45.2	 & 	10.37	 & 	555.4	 & 	42.3
40	 & 	8	 & 	9	 & 	8	 & 	384	 & 	732	 & 	3.4	 & 	3.4	 & 	42.5	 & 	15.2	 & 	15.2	 & 	0.00	 & 	20.5	 & 	0.0	 & 	2.5	 & 	4.4	 & 	0.27	 & 	11.0	 & 	18.0	 & 	37.02	 & 	22.4	 & 	0.1
40	 & 	8	 & 	6	 & 	13	 & 	424	 & 	753	 & 	3.6	 & 	3.6	 & 	620.0	 & 	21.8	 & 	21.8	 & 	0.00	 & 	24.0	 & 	0.0	 & 	61.4	 & 	2.4	 & 	2.59	 & 	13.9	 & 	31.4	 & 	53.54	 & 	3.6	 & 	10.0
60	 & 	2	 & 	6	 & 	20	 & 	2400	 & 	4116	 & 	17.8	 & 	18.0	 & 	7200.0	 & 	55.0	 & 	79.4	 & 	27.18	 & 	0.0	 & 	0.0	 & 	753.6	 & 	0.0	 & 	0.00	 & 	0.0	 & 	0.0	 & 	0.00	 & 	669.6	 & 	12.2
45	 & 	8	 & 	3	 & 	30	 & 	675	 & 	1013	 & 	3.4	 & 	3.6	 & 	996.9	 & 	36.8	 & 	36.8	 & 	0.01	 & 	19.0	 & 	0.0	 & 	107.3	 & 	0.4	 & 	10.36	 & 	30.2	 & 	40.6	 & 	25.61	 & 	0.0	 & 	9.3
40	 & 	5	 & 	6	 & 	13	 & 	742	 & 	1297	 & 	5.2	 & 	5.2	 & 	6091.8	 & 	24.2	 & 	25.4	 & 	4.50	 & 	96.0	 & 	23.6	 & 	175.2	 & 	0.8	 & 	20.15	 & 	18.9	 & 	27.4	 & 	30.99	 & 	80.8	 & 	29.8
60	 & 	2	 & 	9	 & 	13	 & 	2190	 & 	3960	 & 	17.8	 & 	18.0	 & 	7200.0	 & 	51.8	 & 	57.2	 & 	9.45	 & 	46.8	 & 	40.7	 & 	3525.7	 & 	3.0	 & 	569.04	 & 	51.6	 & 	59.0	 & 	12.51	 & 	515.4	 & 	123.0
45	 & 	8	 & 	9	 & 	10	 & 	495	 & 	927	 & 	3.6	 & 	3.6	 & 	1425.6	 & 	19.2	 & 	19.2	 & 	0.00	 & 	465.8	 & 	0.0	 & 	14.9	 & 	4.6	 & 	0.61	 & 	13.6	 & 	22.8	 & 	40.31	 & 	30.6	 & 	1.4
45	 & 	5	 & 	6	 & 	15	 & 	900	 & 	1542	 & 	6.0	 & 	6.0	 & 	7200.0	 & 	25.1	 & 	31.0	 & 	19.13	 & 	21.6	 & 	17.7	 & 	2927.8	 & 	3.4	 & 	20.96	 & 	20.1	 & 	34.2	 & 	41.19	 & 	76.8	 & 	111.7
45	 & 	5	 & 	3	 & 	30	 & 	1125	 & 	1614	 & 	6.0	 & 	6.2	 & 	7200.0	 & 	37.7	 & 	41.4	 & 	8.78	 & 	244.4	 & 	194.5	 & 	2265.3	 & 	0.8	 & 	52.63	 & 	32.5	 & 	46.6	 & 	30.12	 & 	12.4	 & 	30.4
45	 & 	5	 & 	9	 & 	10	 & 	825	 & 	1512	 & 	5.8	 & 	5.8	 & 	7200.0	 & 	20.5	 & 	24.2	 & 	15.38	 & 	196.4	 & 	152.5	 & 	76.5	 & 	0.2	 & 	28.75	 & 	18.4	 & 	25.4	 & 	27.48	 & 	114.0	 & 	30.0
50	 & 	5	 & 	6	 & 	16	 & 	1122	 & 	1960	 & 	6.4	 & 	6.4	 & 	7200.0	 & 	26.4	 & 	33.0	 & 	19.85	 & 	32.7	 & 	28.2	 & 	2933.3	 & 	2.4	 & 	58.96	 & 	22.0	 & 	39.0	 & 	42.87	 & 	100.0	 & 	156.5
50	 & 	5	 & 	3	 & 	33	 & 	1411	 & 	2052	 & 	5.8	 & 	6.2	 & 	7200.0	 & 	41.6	 & 	46.8	 & 	11.15	 & 	141.4	 & 	116.5	 & 	5256.8	 & 	0.2	 & 	81.50	 & 	35.4	 & 	51.8	 & 	31.42	 & 	13.6	 & 	52.9
45	 & 	8	 & 	6	 & 	15	 & 	540	 & 	952	 & 	3.8	 & 	3.8	 & 	3149.7	 & 	23.9	 & 	24.8	 & 	3.36	 & 	32.8	 & 	13.9	 & 	191.4	 & 	1.8	 & 	1.07	 & 	16.9	 & 	31.6	 & 	44.76	 & 	16.8	 & 	37.0
50	 & 	5	 & 	9	 & 	11	 & 	1037	 & 	1892	 & 	6.8	 & 	6.8	 & 	7200.0	 & 	22.8	 & 	28.8	 & 	20.61	 & 	34.8	 & 	30.2	 & 	1571.7	 & 	0.2	 & 	195.09	 & 	20.8	 & 	31.6	 & 	33.47	 & 	146.6	 & 	119.9
55	 & 	5	 & 	3	 & 	36	 & 	1729	 & 	2509	 & 	7.2	 & 	7.4	 & 	7200.0	 & 	44.3	 & 	50.8	 & 	12.74	 & 	86.6	 & 	79.3	 & 	3110.7	 & 	1.2	 & 	94.53	 & 	37.9	 & 	56.4	 & 	32.73	 & 	31.6	 & 	95.5
55	 & 	5	 & 	6	 & 	18	 & 	1387	 & 	2407	 & 	6.4	 & 	6.6	 & 	7200.0	 & 	29.5	 & 	37.2	 & 	20.49	 & 	17.5	 & 	13.5	 & 	5219.9	 & 	0.0	 & 	90.04	 & 	25.0	 & 	41.4	 & 	39.02	 & 	126.2	 & 	162.3
50	 & 	8	 & 	3	 & 	33	 & 	830	 & 	1222	 & 	4.2	 & 	4.2	 & 	3584.9	 & 	39.6	 & 	40.2	 & 	1.48	 & 	102.4	 & 	47.8	 & 	1999.4	 & 	0.8	 & 	22.18	 & 	33.0	 & 	45.2	 & 	26.81	 & 	0.0	 & 	20.6
55	 & 	5	 & 	9	 & 	12	 & 	1273	 & 	2308	 & 	6.8	 & 	7.0	 & 	7200.0	 & 	23.7	 & 	31.4	 & 	24.53	 & 	12.1	 & 	10.7	 & 	4224.2	 & 	0.2	 & 	268.07	 & 	21.8	 & 	36.0	 & 	38.67	 & 	179.6	 & 	196.0
60	 & 	5	 & 	3	 & 	40	 & 	2000	 & 	2896	 & 	6.6	 & 	7.0	 & 	7200.0	 & 	47.4	 & 	54.0	 & 	12.19	 & 	58.8	 & 	54.0	 & 	3643.7	 & 	0.0	 & 	496.90	 & 	41.7	 & 	60.2	 & 	30.48	 & 	28.2	 & 	79.4
60	 & 	5	 & 	6	 & 	20	 & 	1600	 & 	2756	 & 	7.0	 & 	7.6	 & 	7200.0	 & 	31.7	 & 	41.8	 & 	23.92	 & 	10.7	 & 	9.5	 & 	4351.3	 & 	3.6	 & 	59.67	 & 	26.4	 & 	47.4	 & 	43.98	 & 	118.0	 & 	251.3
